bucket,bucket_rank,code,name,owner_earnback_years,market_profit_payback_years,liquidation_discount_ratio,discounted_detachable_net_cash,market_cap,owner_result
profit_cheap,1,000719.SZ,中原传媒,5.47,12.87,-0.43,7234905487.89,12585000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/000719.SZ/2025-12-31/result.json
profit_cheap,2,601019.SH,山东出版,6.83936694855,14.89509803922,-0.45915910653,8216845712.48,15193000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/601019.SH/2025-12-31/result.json
profit_cheap,3,600894.SH,广日股份,6.874310216199442,12.123172853291573,0.4329611315957611,2798660754.6349998,6464000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600894.SH/2025-12-31/result.json
profit_cheap,4,000915.SZ,华特达因,8.735175247706346,13.514233007585231,-0.6463685540129057,2111533363.98894,5971000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/000915.SZ/2025-12-31/result.json
profit_cheap,5,601518.SH,吉林高速,9.011695939650718,12.94078844109625,0.30362079708898226,1590062114.355,5237000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/601518.SH/2025-12-31/result.json
profit_cheap,6,000651.SZ,格力电器,9.775386337797057,11.139656862745097,0.12246970815686758,27831118708.94,227248999999.99997,/root/aicode/stock_report/data/analysis/owner_earnback/000651.SZ/2025-12-31/result.json
profit_cheap,7,601900.SH,南方传媒,10.350075270105883,13.166013071895424,-0.7861206892008539,2154192418.369,10072000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/601900.SH/2025-12-31/result.json
profit_cheap,8,600612.SH,老凤祥,10.390126169891676,12.957676828613883,-0.801829584783463,3589667218.0230007,18116000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600612.SH/2025-12-31/result.json
profit_cheap,9,300770.SZ,新媒股份,10.670041147040019,14.915793491864873,0.2846481045169003,2172718981.7775,7633000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/300770.SZ/2025-12-31/result.json
profit_cheap,10,603551.SH,奥普科技,10.841754223592591,14.407407407407407,-0.752512789012,866453723.667,3501000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/603551.SH/2025-12-31/result.json
profit_cheap,11,600033.SH,福建高速,11.096669409052138,13.025401069518717,0.1480746466210613,1442691282.029,9743000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600033.SH/2025-12-31/result.json
profit_cheap,12,002884.SZ,凌霄泵业,11.501669787771528,14.382788843463963,0.20031713508758872,1157232089.401,5777000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/002884.SZ/2025-12-31/result.json
profit_cheap,13,002668.SZ,TCL智家,11.6366,13.1216,-0.8867,1186252049.95,10473000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/002668.SZ/2025-12-31/result.json
profit_cheap,14,920029.BJ,开发科技,11.761746075290723,14.925339366515837,-0.7880387699376231,1398308234.7215,6597000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/920029.BJ/2025-12-31/result.json
profit_cheap,15,600987.SH,航民股份,12.3168837794,12.0733783542,-1.0202285171,-135882088.7095,6717000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600987.SH/2025-12-31/result.json
profit_cheap,16,000786.SZ,北新建材,12.877562736345949,14.053184372952252,0.08365517774526511,2778272108.0979996,33211000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/000786.SZ/2025-12-31/result.json
profit_cheap,17,600968.SH,海油发展,13.0297564163,14.7207912938,0.1148739116,4530741946.7146,39441000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600968.SH/2025-12-31/result.json
profit_cheap,18,603816.SH,顾家家居,13.504388860784195,14.158752657689583,-0.9537837963042596,923307317.4335003,19978000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/603816.SH/2025-12-31/result.json
profit_cheap,19,600873.SH,梅花生物,14.274327537902892,13.865752045554478,-1.0294665223354695,-696588588.0105004,23640000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600873.SH/2025-12-31/result.json
profit_cheap,20,600690.SH,海尔智家,14.653081436701726,14.445936350316236,-0.014339332623527394,-2939491491.159998,204994999999.99997,/root/aicode/stock_report/data/analysis/owner_earnback/600690.SH/2025-12-31/result.json
profit_cheap,21,600096.SH,云天化,17.46067069512921,14.685449032185254,-1.1889776510654637,-10421172568.005001,55145000000.00001,/root/aicode/stock_report/data/analysis/owner_earnback/600096.SH/2025-12-31/result.json
profit_cheap,22,603368.SH,柳药集团,19.46,12.24,-1.5904,-3606984424.81,6109000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/603368.SH/2025-12-31/result.json
profit_cheap,23,600269.SH,赣粤高速,25.101950078898387,12.691292071407307,-1.9778863823986739,-9135426594.3645,9342000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600269.SH/2025-12-31/result.json
liquidation_watch,1,600420.SH,国药现代,9.8713,19.88,0.5035,5867780841.26,11655000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/600420.SH/2025-12-31/result.json
liquidation_watch,2,002393.SZ,力生制药,27.16083123569231,54.03076923076923,0.497308077927107,2183182462.1,4390000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/002393.SZ/2025-12-31/result.json
liquidation_watch,3,002233.SZ,塔牌集团,18.14667531696598,34.6858898305518,0.47682831821191624,4053517533.1195,8501000000.000001,/root/aicode/stock_report/data/analysis/owner_earnback/002233.SZ/2025-12-31/result.json
liquidation_watch,4,605577.SH,龙版传媒,17.718448843816468,33.858004470715144,0.47668360493183487,1951065994.986,4093000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/605577.SH/2025-12-31/result.json
liquidation_watch,5,601921.SH,浙版传媒,14.05466757952669,25.850059605311017,0.45630038018794006,7128324539.296,15622000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/601921.SH/2025-12-31/result.json
liquidation_watch,6,002508.SZ,老板电器,10.267373578457399,18.102011081452044,0.43280481200358395,6400317559.908999,14788000000,/root/aicode/stock_report/data/analysis/owner_earnback/002508.SZ/2025-12-31/result.json
liquidation_watch,7,000650.SZ,仁和药业,20.676172662962692,35.48034486506483,0.41724995228777595,3136885141.2995,7518000000.000001,/root/aicode/stock_report/data/analysis/owner_earnback/000650.SZ/2025-12-31/result.json
liquidation_watch,8,603886.SH,元祖股份,12.982521014222222,20.995555555555555,0.3816538466977138,901466385.9,2362000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/603886.SH/2025-12-31/result.json
liquidation_watch,9,000521.SZ,长虹美菱,-11.426963651828924,30.8,0.37100531337106896,6861881593.4222,5005000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/000521.SZ/2025-12-31/result.json
liquidation_watch,10,300771.SZ,智莱科技,57.90547208738767,90.45057739240941,0.35981091821922323,926513114.4144999,2575000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/300771.SZ/2025-12-31/result.json
liquidation_watch,11,603587.SH,地素时尚,20.872274232426225,32.27360656017748,0.3532710949578036,1917202232.3360002,5427000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/603587.SH/2025-12-31/result.json
liquidation_watch,12,002697.SZ,红旗连锁,15.401445462544013,23.373953971848,0.3410817439149489,2101426626.27,6161000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/002697.SZ/2025-12-31/result.json
liquidation_watch,13,300360.SZ,炬华科技,10.929310516766014,16.373856209150325,0.3325145660764809,2082538727.337,6263000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/300360.SZ/2025-12-31/result.json
liquidation_watch,14,688330.SH,宏力达,29.152595271413567,43.53333333333333,0.3303385465984632,1509977496.5015752,4571000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/688330.SH/2025-12-31/result.json
liquidation_watch,15,603948.SH,建业股份,12.730575581676534,18.154091816966158,0.29874897020301516,891765676.0560002,2985000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/603948.SH/2025-12-31/result.json
liquidation_watch,16,688080.SH,映翰通,17.82258090546622,24.95761623426663,0.2858860903151503,694417313.3755,2429000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/688080.SH/2025-12-31/result.json
liquidation_watch,17,003012.SZ,东鹏控股,22.674334146233335,31.624242424242425,0.28300783171167115,1476734865.8715,5218000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/003012.SZ/2025-12-31/result.json
liquidation_watch,18,001387.SZ,雪祺电气,22.395325595309803,30.462745098039214,0.2648290387739444,514297993.299,1942000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/001387.SZ/2025-12-31/result.json
liquidation_watch,19,000957.SZ,中通客车,41.1541251977264,55.81304488275234,0.2626432533079005,1552484270.303,5911000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/000957.SZ/2025-12-31/result.json
liquidation_watch,20,002249.SZ,大洋电机,18.886912668347794,25.323529411764707,0.2541753417841754,4376899385.5235,17220000000.0,/root/aicode/stock_report/data/analysis/owner_earnback/002249.SZ/2025-12-31/result.json
