601857.SH	中国石油	A
00332.HK	元亨燃氣	HK
600346.SH	恒力石化	A
601808.SH	中海油服	A
000975.SZ	山金国际	A
601969.SH	海南矿业	A
600010.SH	包钢股份	A
600282.SH	南钢股份	A
000708.SZ	中信特钢	A
000630.SZ	铜陵有色	A
000807.SZ	云铝股份	A
600111.SH	北方稀土	A
000960.SZ	锡业股份	A
300748.SZ	金力永磁	A
09893.HK	比優集團	HK
603077.SH	和邦生物	A
01866.HK	中國心連心化肥	HK
01470.HK	富一國際控股	HK
000902.SZ	新洋丰	A
000408.SZ	藏格矿业	A
00723.HK	信保環球控股	HK
01481.HK	竣球控股	HK
02689.HK	玖龍紙業	HK
002001.SZ	新 和 成	A
00189.HK	東岳集團	HK
600066.SH	宇通客车	A
688009.SH	中国通号	A
001696.SZ	宗申动力	A
002131.SZ	利欧股份	A
300450.SZ	先导智能	A
000100.SZ	TCL科技	A
000050.SZ	深天马Ａ	A
600875.SH	东方电气	A
600008.SH	首创环保	A
300140.SZ	节能环境	A
600031.SH	三一重工	A
08246.HK	中華燃氣	HK
688472.SH	阿特斯	A
600438.SH	通威股份	A
688349.SH	三一重能	A
600893.SH	航发动力	A
002625.SZ	光启技术	A
000768.SZ	中航西飞	A
002709.SZ	天赐材料	A
300014.SZ	亿纬锂能	A
002850.SZ	科达利	A
300750.SZ	宁德时代	A
600482.SH	中国动力	A
600798.SH	宁波海运	A
601298.SH	青岛港	A
601018.SH	宁波港	A
00144.HK	招商局港口	HK
601872.SH	招商轮船	A
600377.SH	宁沪高速	A
002352.SZ	顺丰控股	A
600233.SH	圆通速递	A
02482.HK	維天運通	HK
600058.SH	五矿发展	A
002831.SZ	裕同科技	A
600210.SH	紫江企业	A
002701.SZ	奥瑞金	A
01211.HK	比亞迪股份	HK
600660.SH	福耀玻璃	A
601058.SH	赛轮轮胎	A
601689.SH	拓普集团	A
603766.SH	隆鑫通用	A
000333.SZ	美的集团	A
688169.SH	石头科技	A
600690.SH	海尔智家	A
002600.SZ	领益智造	A
002475.SZ	立讯精密	A
002241.SZ	歌尔股份	A
09992.HK	泡泡瑪特	HK
603195.SH	公牛集团	A
603816.SH	顾家家居	A
603833.SH	欧派家居	A
02299.HK	百宏實業	HK
600177.SH	雅戈尔	A
600398.SH	海澜之家	A
02331.HK	李寧	HK
600612.SH	老凤祥	A
01913.HK	普拉達	HK
601333.SH	广深铁路	A
00027.HK	銀河娛樂	HK
601888.SH	中国中免	A
