600585.SH	海螺水泥
600801.SH	华新建材
000672.SZ	上峰材料
600019.SH	宝钢股份
000932.SZ	华菱钢铁
601636.SH	旗滨集团
000012.SZ	南玻A
000683.SZ	博源化工
600409.SH	三友化工
601088.SH	中国神华
601225.SH	陕西煤业
000983.SZ	山西焦煤
600938.SH	中国海油
600028.SH	中国石化
601899.SH	紫金矿业
603993.SH	洛阳钼业
601600.SH	中国铝业
002466.SZ	天齐锂业
002460.SZ	赣锋锂业
000792.SZ	盐湖股份
600426.SH	华鲁恒升
600989.SH	宝丰能源
002493.SZ	荣盛石化
603225.SH	新凤鸣
600486.SH	扬农化工
600141.SH	兴发集团
600143.SH	金发科技
600096.SH	云天化
000893.SZ	亚钾国际
002078.SZ	太阳纸业
600567.SH	山鹰国际
002714.SZ	牧原股份
300498.SZ	温氏股份
002299.SZ	圣农发展
600737.SH	中粮糖业
601919.SH	中远海控
600026.SH	中远海能
001205.SZ	盛航股份
000725.SZ	京东方A
002387.SZ	维信诺
301308.SZ	江波龙
603986.SH	兆易创新
688303.SH	大全能源
601012.SH	隆基绿能
601865.SH	福莱特
600150.SH	中国船舶
601111.SH	中国国航
601021.SH	春秋航空
