rank,code,name,market,return_pct,start_date,start_price,end_date,end_price,source
1,01757.HK,俊裕地基,HK,4549.122971898044,2025-08-01,0.11400000005960464,2026-07-31,5.300000190734863,Yahoo Finance chart adjclose
2,02028.HK,映美控股,HK,3040.0000581145277,2025-08-01,0.05000000074505806,2026-07-31,1.5700000524520874,Yahoo Finance chart adjclose
3,02442.HK,怡俊集团控股,HK,2978.1249893285953,2025-08-01,1.9199999570846558,2026-07-31,59.099998474121094,Yahoo Finance chart adjclose
4,01417.HK,浦江中国,HK,2900.000184490573,2025-08-01,0.20999999344348907,2026-07-31,6.300000190734863,Yahoo Finance chart adjclose
5,01959.HK,世纪联合控股,HK,1771.428661646489,2025-08-01,0.20999999344348907,2026-07-31,3.930000066757202,Yahoo Finance chart adjclose
6,08460.HK,基地锦标集团,HK,1103.3897868452045,2025-08-01,0.05900000035762787,2026-07-31,0.7099999785423279,Yahoo Finance chart adjclose
7,01953.HK,RIMBACO,HK,1085.717903564929,2025-08-01,0.101204514503479,2026-07-31,1.2000000476837158,Yahoo Finance chart adjclose
8,02339.HK,京西国际,HK,1041.5385151473747,2025-08-01,0.32499998807907104,2026-07-31,3.7100000381469727,Yahoo Finance chart adjclose
9,01716.HK,毛记葵涌,HK,889.1304583033448,2025-08-01,0.46000000834465027,2026-07-31,4.550000190734863,Yahoo Finance chart adjclose
10,01570.HK,伟业控股,HK,884.552802348675,2025-08-01,1.2300000190734863,2026-07-31,12.109999656677246,Yahoo Finance chart adjclose
11,688146.SH,中船特气,A,797.0728702893989,2025-07-31,29.651994705200195,2026-07-31,266.0,Yahoo Finance yfinance auto_adjust=True
12,02623.HK,爱德新能源,HK,784.2104972564609,2025-08-01,0.4749999940395355,2026-07-31,4.199999809265137,Yahoo Finance chart adjclose
13,01626.HK,嘉耀控股,HK,718.1159420915823,2025-08-01,2.759999990463257,2026-07-31,22.579999923706055,Yahoo Finance chart adjclose
14,08321.HK,泰锦控股,HK,686.9564825848513,2025-08-01,0.23000000417232513,2026-07-31,1.809999942779541,Yahoo Finance chart adjclose
15,01255.HK,TATA健康,HK,599.9999403953576,2025-08-01,0.30000001192092896,2026-07-31,2.0999999046325684,Yahoo Finance chart adjclose
16,02422.HK,润歌互动,HK,577.4999994412065,2025-08-01,0.4000000059604645,2026-07-31,2.7100000381469727,Yahoo Finance chart adjclose
17,01500.HK,现恒建筑,HK,569.4915395500809,2025-08-01,0.05900000035762787,2026-07-31,0.39500001072883606,Yahoo Finance chart adjclose
