code,name,period,status,total_assets,funds_assets,operating_assets,investment_assets,other_assets,mapped_assets_before_residual,reconciliation_residual,unresolved_ratio,formula_difference,funds_ratio,operating_ratio,investment_ratio,other_ratio,review_flags
002315.SZ,焦点科技,2026-03-31,review_required,4741701566.75,2134636092.18,498374501.16999996,852490611.49,1256200361.9099996,4707876412.97,33825153.77999973,0.007133547589158751,0.0,0.45018356008497107,0.1051045693522188,0.17978580041137085,0.2649260701514392,投资类资产超过总资产10%，报告必须解释构成；其他类资产超过总资产10%，报告必须解释构成
688578.SH,艾力斯,2026-03-31,review_required,8586607887.04,3158813180.16,1546653308.5,203728499.65,3677412898.73,8586607887.039999,9.5367431640625e-07,1.110653157745396e-16,9.5367431640625e-07,0.3678767240469525,0.18012390094514572,0.023726307562907695,0.4282730674449941,其他类资产超过总资产10%，报告必须解释构成
605499.SH,东鹏饮料,2026-03-31,provisional,36869046559.33,23557328857.100002,9190329467.220001,612656754.24,3508731480.77,36869046559.33,0.0,0.0,0.0,0.6389459738046477,0.2492695180611964,0.016617103272635686,0.0951674048615203,
688188.SH,柏楚电子,2026-03-31,provisional,6816159512.61,5526760802.9,1136126502.39,69633987.56,83638219.76,6816159512.610001,-9.5367431640625e-07,1.3991373215986771e-16,-9.5367431640625e-07,0.8108320811265357,0.16668132550128098,0.010216014961383468,0.012270578410799808,
600132.SH,重庆啤酒,2026-03-31,review_required,11987833524.03,2685262889.5099998,7409116466.54,267376899.64,1626077268.3400002,11987833524.029999,1.9073486328125e-06,1.5910703372624903e-16,1.9073486328125e-06,0.22399901401093894,0.6180529994588418,0.02230402174872001,0.13564396478149915,其他类资产超过总资产10%，报告必须解释构成
603444.SH,吉比特,2026-03-31,provisional,9026967665.33,5873320441.29,863687555.19,1791304159.98,498655508.87000006,9026967665.33,0.0,0.0,0.0,0.6506415730110282,0.09567859188276223,0.19843919092120899,0.0552406441850006,投资类资产超过总资产10%，报告必须解释构成
300502.SZ,新易盛,2026-03-31,provisional,29736124932.02,7916953085.79,19531149009.399998,43996059.09,2244026777.7400002,29736124932.02,0.0,0.0,0.0,0.26624024158793425,0.6568155418384312,0.001479549174298257,0.07546466739933627,
603288.SH,海天味业,2026-03-31,review_required,48378510421.11,30921042844.39,10341299398.8,10927839.41,7105240338.51,48378510421.11001,-7.62939453125e-06,1.5770213809478738e-16,-7.62939453125e-06,0.6391483031461336,0.21375811923071458,0.00022588209754452525,0.14686769552560724,其他类资产超过总资产10%，报告必须解释构成
300394.SZ,天孚通信,2026-03-31,provisional,6981677447.38,3227694078.82,3449490479.39,8723336.61,295769552.56,6981677447.38,0.0,0.0,0.0,0.46230925205965373,0.49407760604644996,0.0012494614189421753,0.042363680474954174,
603402.SH,陕西旅游,2026-03-31,provisional,3878397410.59,2775369372.81,1012206987.53,1382285.87,89438764.38,3878397410.59,0.0,0.0,0.0,0.7155969538427981,0.2609858867908068,0.0003564064544354469,0.02306075291195962,
300628.SZ,亿联网络,2026-03-31,provisional,10802443121.88,6181071640.77,4186208931.2900004,349741456.59,85421093.23,10802443121.880001,-1.9073486328125e-06,1.7656641292090927e-16,-1.9073486328125e-06,0.5721920098103029,0.3875242742830064,0.03237614423366969,0.00790757167302111,
603195.SH,公牛集团,2026-03-31,provisional,24376116627.48,17934427768.58,6106459727.03,0.0,335229131.87,24376116627.48,0.0,0.0,0.0,0.735737691226909,0.2505099487481934,0.0,0.013752360024897697,
000423.SZ,东阿阿胶,2026-03-31,provisional,13551934160.12,9130105243.619999,3835808003.8800006,185675313.11,400345599.51,13551934160.12,0.0,0.0,0.0,0.6737123377183787,0.2830450589973966,0.01370101942026819,0.029541583863956358,
002668.SZ,TCL智家,2026-03-31,provisional,16048689529.81,5804632709.29,9107658881.81,216315000.0,920082938.71,16048689529.809998,1.9073486328125e-06,1.188476248649245e-16,1.9073486328125e-06,0.36168889045476604,0.5675017181242602,0.013478670616575941,0.05733072080439785,
301061.SZ,匠心家居,2026-03-31,provisional,5610300414.19,4016185544.55,1459018642.8100002,0.0,135096226.82999998,5610300414.190001,-9.5367431640625e-07,1.6998631909160234e-16,-9.5367431640625e-07,0.715859267427455,0.26006069819714805,0.0,0.024080034375397137,
000915.SZ,华特达因,2026-03-31,provisional,4953982627.22,3262503973.33,1292708810.09,347689043.14,51080800.66,4953982627.22,0.0,0.0,0.0,0.6585618519136394,0.2609433474770626,0.070183742920211,0.01031105768908696,
